Germany,United States,2019,?,50,,MIM-104 PAC-3 MSE,ABM missile,50,?,2023; 2024,New,For use with MEADS SAM system,1.5,75,75
Germany,Austria,2021,?,1,,DA62,light aircraft,1,,2022,New,DA62 MPP version; owned and operated by German company for training of German and other armed forces in Germany,0.6,0.6,0.6
Germany,France,2013,,18,?,Ocean Master,maritime patrol aircraft radar,18,?,2019; 2021; 2022,New,For 18 NH-90 anti-submarine helicopters produced in Germany,2.5,45,45
Germany,Sweden,2020,,75,,RBS-15 Mk-3,anti-ship/land-attack missile,45,?,2022; 2023; 2024,New,SEK1.7 b ($190 m) deal; produced under licence in Germany; for K-130 corvettes; delivery planned 2022-2026,1.2,90,54
Germany,Canada,2018,?,5,,aircraft engine,aircraft engine,5,,2021,New,Pratt & Whitney Canada PT-6A-67Q (1200hp) turboprop engine for 5 Heron-TP drones from Israel,0.5,2.5,2.5
Germany,United States,2007,?,1890,?,GMLRS,guided rocket,540,?,2014,New,Incl production of components in FRG; 12.5% of development financed by FRG; for use with MLRS MRL,0.08,151.2,43.2
Germany,Israel,2019,,1500,?,Spike-MR/LR,anti-tank missile,1500,?,2020; 2021; 2022; 2023,New,Produced under licence in Germany; Spike-LR version; German designation MELLS; for Puma and Boxer infantry fighting vehicles,0.03,45,45
Germany,United States,2007,?,4,,LM-2500,gas turbine,4,,2019; 2020; 2021; 2022,New,For 4 F-125 frigates produced in Germany,7,28,28
Germany,Netherlands,2015,?,16,?,Leopard-2A6,tank,16,?,2017,Second hand,Second-hand (modernized in FRG after delivery); gift,2,32,32
Germany,Italy,2023,,1,,RAT-31DL,air-search radar,1,?,2024,New,RAT-31DL/M version,12.5,12.5,12.5
Germany,United States,2008,,1000,?,JDAM,guided bomb,700,?,2014; 2015; 2016; 2017; 2018,New,LJDAM (GBU-54) and JDAM (GBU-38) versions,0.02,20,14
Germany,United States,2009,?,200,?,Paveway,guided bomb,200,?,2015; 2016,New,GBU-48 version,0.02,4,4
Germany,Netherlands,2014,,1,,Flycatcher Mk-2,air-search/fire-control radar,1,,2015,New,EUR16.8 m ($18.8 m) deal; Flycatcher Mk-2 version; for training and testing,6,6,6
Germany,Switzerland,2013,,100,,Eagle,armoured personnel carrier,100,?,2014; 2015,New,'GFF-2' programme; Eagle-5 version; produced under licence in Germany,0.13,13,13
Germany,Switzerland,2014,,76,,Eagle,armoured personnel carrier,76,,2015; 2016,New,'GFF-2' programme; Eagle-5 version; produced under licence in Germany,0.13,9.88,9.88
Germany,Poland,2017,,2,,M28 Skytruck,light transport aircraft,2,,2017,New,For German company for training of German military,2.75,5.5,5.5
Germany,Israel,2016,,3,,Heron,UAV,3,?,2016,New,Lease for use with German EU peacekeeping forces in Mali,3,9,9
Germany,United States,2019,,91,,AGM-88E AARGM,anti-radar missile,75,?,2022; 2023; 2024,New,EUR127 m deal; German AGM-88 rebuilt to AGM-88E AARGM version,0.6,54.6,45
Germany,Switzerland,2020,,80,,Eagle-5 6x6,armoured personnel carrier,10,?,2024,New,'Medium Protected Medical Evacuation Vehicles' programme; ambulance version,0.2,16,2
Germany,United States,2019,?,4,?,aircraft engine,aircraft engine,4,?,2022; 2024,New,Allison AE-2100D3 (5000hp) turboprop engine; spare engines for C-130J transport aircraft and KC-130J tanker/transport aircraft,1.5,6,6
Germany,Israel,2009,,1500,,Spike-MR/LR,anti-tank missile,900,?,2014; 2015; 2016,New,Produced under licence in Germany; Spike-LR version; German designation MELLS,0.03,45,27
